
Bryan Robertson,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY PROGRAMMERS
Natasha Kumar,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY PROGRAMMERS
Nicolas Huon,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY PROGRAMMERS
Philip D'Antonio,DEVELOPMENT TEAM UBISOFT TORONTO,ENGINE PROGRAMMERS
Xiao Liu,DEVELOPMENT TEAM UBISOFT TORONTO,ENGINE PROGRAMMERS
Adam Pamart,DEVELOPMENT TEAM UBISOFT TORONTO,AUDIO PROGRAMMER
David Cheung,DEVELOPMENT TEAM UBISOFT TORONTO,SYSTEMS PROGRAMMERS
Nathan Seyler,DEVELOPMENT TEAM UBISOFT TORONTO,SYSTEMS PROGRAMMERS
Quincy Jermyn,DEVELOPMENT TEAM UBISOFT TORONTO,PHYSICS PROGRAMMER
Kevin Hutchison,DEVELOPMENT TEAM UBISOFT TORONTO,TOOLS SUPPORT SPECIALISTS
Wilfred Robins,DEVELOPMENT TEAM UBISOFT TORONTO,TOOLS SUPPORT SPECIALISTS
Andrew Murray,DEVELOPMENT TEAM UBISOFT TORONTO,UI PROGRAMMERS
Colin Elliott,DEVELOPMENT TEAM UBISOFT TORONTO,UI PROGRAMMERS
Paul Bennett,DEVELOPMENT TEAM UBISOFT TORONTO,UI PROGRAMMERS
Kayla Wright,DEVELOPMENT TEAM UBISOFT TORONTO,UI SCRIPTER
Brenda Puebla,DEVELOPMENT TEAM UBISOFT TORONTO,"SENIOR MANAGER, QC & USER RESEARCH"
Richard Schwartze,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD DEVELOPMENT TESTERS
Tammy Keys,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD DEVELOPMENT TESTERS
Joakim Bautista,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE QC LEADS
Keegan Hawkeswood,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE QC LEADS
Joseph Cassano,DEVELOPMENT TEAM UBISOFT TORONTO,COMPLIANCE SPECIALISTS
Kevin Nanni,DEVELOPMENT TEAM UBISOFT TORONTO,COMPLIANCE SPECIALISTS
Aaron Gallagher,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Alison Gains,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Benjamin Strung,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Christopher Bobbitt,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Dalton Risser,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
David Rowell-Unsworth,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Dylan Sparling,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Ian Norton,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
James Wells,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Joe Prosperi,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Kyle Cislak,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Marko Ristic,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Max Case,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Nikolas Ketsilis,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Paul Pytlik,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Robert Colonico,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Samuel Bridgwater,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Scott Deathe,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Soliloquy Douglas,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Victor To,DEVELOPMENT TEAM UBISOFT TORONTO,DEVELOPMENT TESTERS
Shinya Kominami,DEVELOPMENT TEAM UBISOFT TORONTO,INDUSTRIAL DESIGNER
Philip Loong,DEVELOPMENT TEAM UBISOFT TORONTO,HARDWARE DEVELOPMENT DIRECTOR
Elena Sakhnovitch,DEVELOPMENT TEAM UBISOFT TORONTO,HARDWARE CONSULTANT
Jacek Piszczek,DEVELOPMENT TEAM UBISOFT TORONTO,PROGRAMMERS
Vladyslav Adamenko,DEVELOPMENT TEAM UBISOFT TORONTO,PROGRAMMERS
Peter Wan,DEVELOPMENT TEAM UBISOFT TORONTO,QA RELIABILITY SPECIALIST
Michelle Rudson,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD ANIMATOR
Caroline Garneau,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY ANIMATORS
Cody Drake,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY ANIMATORS
Yu Chen,DEVELOPMENT TEAM UBISOFT TORONTO,GAMEPLAY ANIMATORS
Graham Yaxley,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD ARTIST
Benjamin Millwood,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL ART DIRECTOR
Elliot Mallon,DEVELOPMENT TEAM UBISOFT TORONTO,TEAM LEAD CHARACTER ARTIST
David Payne,DEVELOPMENT TEAM UBISOFT TORONTO,ASSOCIATE CHARACTER TECHNICAL DIRECTOR
Alistair Braz,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL ARTISTS
Benjamin Laidlaw,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL ARTISTS
Goran Zovkic,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL ARTISTS
Ronald Krukkert,DEVELOPMENT TEAM UBISOFT TORONTO,TECHNICAL ARTISTS
Alejandro Mendoza,DEVELOPMENT TEAM UBISOFT TORONTO,CHARACTER ARTISTS
Charles Lim,DEVELOPMENT TEAM UBISOFT TORONTO,CHARACTER ARTISTS
Steven Fabok,DEVELOPMENT TEAM UBISOFT TORONTO,CHARACTER ARTISTS
